character,fav_count,copyright
loona_(helluva_boss),5627893,helluva_boss
judy_hopps,4371017,zootopia
toriel,3458687,undertale_(series)
isabelle_(animal_crossing),3124841,animal_crossing
krystal,2908845,star_fox
nick_wilde,2887423,zootopia
rouge_the_bat,2654049,sonic_the_hedgehog_(series)
twilight_sparkle_(mlp),2486870,friendship_is_magic
miles_prower,2360400,sonic_the_hedgehog_(series)
fluttershy_(mlp),2275400,friendship_is_magic
rainbow_dash_(mlp),1978199,friendship_is_magic
legoshi_(beastars),1967413,beastars
bowser,1960619,mario_bros
ralsei,1831810,deltarune
amy_rose,1790200,sonic_the_hedgehog_(series)
roxanne_wolf_(fnaf),1741585,five_nights_at_freddy's:_security_breach
rarity_(mlp),1704511,friendship_is_magic
princess_celestia_(mlp),1684633,friendship_is_magic
ankha_(animal_crossing),1660280,animal_crossing
princess_luna_(mlp),1473244,friendship_is_magic
fox_mccloud,1466706,star_fox
applejack_(mlp),1451598,friendship_is_magic
pinkie_pie_(mlp),1430284,friendship_is_magic
asriel_dreemurr,1349291,undertale
sonic_the_hedgehog,1311872,sonic_the_hedgehog_(series)
cream_the_rabbit,1309170,sonic_the_hedgehog_(series)
scp-1471-a,1255927,scp_foundation
scp-1471,1255927,scp_foundation
nicole_watterson,1203552,the_amazing_world_of_gumball
foxy_(fnaf),1167299,five_nights_at_freddy's
spike_(mlp),1074851,friendship_is_magic
kris_(deltarune),1037366,deltarune
asriel_dreemurr_(god_form),1037050,undertale
pokemon_trainer,1022142,pokemon
susie_(deltarune),1019023,deltarune
shining_armor_(mlp),999485,friendship_is_magic
midna,976579,twilight_princess
wolf_o'donnell,963816,star_fox
spyro,950897,spyro_the_dragon
kindred_(lol),900082,league_of_legends
lola_bunny,893112,looney_tunes
lamb_(lol),884624,league_of_legends
master_tigress,874027,kung_fu_panda
gumball_watterson,858222,the_amazing_world_of_gumball
big_macintosh_(mlp),856973,friendship_is_magic
coco_bandicoot,853768,crash_bandicoot_(series)
link,835565,the_legend_of_zelda
diane_foxington,816769,the_bad_guys
maid_marian,803958,robin_hood_(disney)
queen_chrysalis_(mlp),790362,friendship_is_magic
blaze_the_cat,787751,sonic_the_hedgehog_(series)
vanilla_the_rabbit,760179,sonic_the_hedgehog_(series)
moxxie_(helluva_boss),757989,helluva_boss
princess_cadance_(mlp),752217,friendship_is_magic
nala,742244,the_lion_king
michiru_kagemori,737374,brand_new_animal
juno_(beastars),730001,beastars
villager_(animal_crossing),725118,animal_crossing
anubis,716564,egyptian_mythology
rivet_(ratchet_and_clank),704232,ratchet_and_clank
jack_(beastars),695071,beastars
frisk_(undertale),677522,undertale
haida,670091,aggressive_retsuko
mr._wolf_(the_bad_guys),656531,the_bad_guys
sweetie_belle_(mlp),637213,friendship_is_magic
link_(wolf_form),625705,the_legend_of_zelda
mae_borowski,605923,night_in_the_woods
apple_bloom_(mlp),605372,friendship_is_magic
princess_zelda,597952,the_legend_of_zelda
simba,595293,the_lion_king
kass_(tloz),588041,breath_of_the_wild
louis_(beastars),583636,beastars
noelle_holiday,580406,deltarune
toy_chica_(fnaf),580210,five_nights_at_freddy's_2
katia_managan,568824,prequel_adventure
fenneko,562825,aggressive_retsuko
glamrock_freddy_(fnaf),558788,five_nights_at_freddy's:_security_breach
millie_(helluva_boss),521823,helluva_boss
toothless,521678,how_to_train_your_dragon
blaidd_(elden_ring),510864,elden_ring
cynder,508436,spyro_the_dragon
haru_(beastars),500381,beastars
retsuko,500362,aggressive_retsuko
sally_acorn,499849,sonic_the_hedgehog_(archie)
scootaloo_(mlp),486850,friendship_is_magic
tom_nook_(animal_crossing),485265,animal_crossing
raymond_(animal_crossing),483917,animal_crossing
undyne,482787,undertale_(series)
rocket_raccoon,478194,guardians_of_the_galaxy
lamb_(cult_of_the_lamb),477168,cult_of_the_lamb
falco_lombardi,453282,star_fox
amaterasu_(okami),453118,okami_(capcom)
glamrock_chica_(fnaf),448812,five_nights_at_freddy's:_security_breach
stolas_(helluva_boss),444300,helluva_boss
muffet,441462,undertale
audie_(animal_crossing),439173,animal_crossing
alphys,439120,undertale_(series)
princess_peach,438739,mario_bros
trixie_(mlp),438549,friendship_is_magic
elora,432481,spyro_the_dragon
shirou_ogami,425134,brand_new_animal
blitzo_(helluva_boss),424617,helluva_boss
montgomery_gator_(fnaf),420604,five_nights_at_freddy's:_security_breach
bea_santello,420544,night_in_the_woods
tasque_manager,411885,deltarune
princess_twilight_sparkle_(mlp),409693,friendship_is_magic
puro_(changed),409125,changed_(video_game)
tristana_(lol),398941,league_of_legends
asgore_dreemurr,395216,undertale_(series)
carmelita_fox,393712,sly_cooper_(series)
vinyl_scratch_(mlp),381425,friendship_is_magic
freddy_(fnaf),380540,five_nights_at_freddy's
mangle_(fnaf),374671,five_nights_at_freddy's_2
red_crown_(cult_of_the_lamb),370361,cult_of_the_lamb
digby_(animal_crossing),368236,animal_crossing
shadow_the_hedgehog,359122,sonic_the_hedgehog_(series)
cosplay_pikachu_(character),353670,pokemon
hornet_(hollow_knight),353366,hollow_knight
stitch_(lilo_and_stitch),352765,lilo_and_stitch
jenny_wakeman,352118,my_life_as_a_teenage_robot
sasha_(animal_crossing),350078,animal_crossing
bonnie_(fnaf),345872,five_nights_at_freddy's
mordecai_(regular_show),342796,regular_show
porsha_crystal,340763,sing_(movie)
princess_ember_(mlp),340613,friendship_is_magic
cream_heart_(mlp),340292,my_little_pony
knuckles_the_echidna,336931,sonic_the_hedgehog_(series)
samus_aran,333289,metroid
vortex_(helluva_boss),328515,helluva_boss
ahri_(lol),327503,league_of_legends
rigby_(regular_show),325488,regular_show
marina_(splatoon),319054,splatoon
wolf_(lol),314630,league_of_legends
poppy_(lol),312571,league_of_legends
starlight_glimmer_(mlp),310101,friendship_is_magic
toy_bonnie_(fnaf),308201,five_nights_at_freddy's_2
wonderbolts_(mlp),307997,friendship_is_magic
temmie_(undertale),304075,undertale
octavia_(mlp),303413,friendship_is_magic
jenna_(balto),294707,balto_(film)
morgana_(persona),294493,megami_tensei_persona
crash_bandicoot,290175,crash_bandicoot_(series)
bugs_bunny,289796,looney_tunes
beerus,289787,dragon_ball
meow_skulls_(fortnite),288058,fortnite
flick_(animal_crossing),287898,animal_crossing
kanna_kamui,284546,miss_kobayashi's_dragon_maid
godzilla,283778,godzilla_(series)
ratchet,278843,ratchet_and_clank
button_mash_(mlp),277171,friendship_is_magic
octavia_(helluva_boss),275262,helluva_boss
cherry_(animal_crossing),274376,animal_crossing
fidget_(elysian_tail),272573,dust:_an_elysian_tail
twilight_velvet_(mlp),265294,friendship_is_magic
vanny_(fnaf),265152,five_nights_at_freddy's
mario,264007,mario_bros
ori_(ori),263958,ori_(series)
claire_(the_summoning),261949,the_summoning
blue_(jurassic_world),260922,jurassic_world
derpy_hooves_(mlp),260261,friendship_is_magic
chica_(fnaf),257186,five_nights_at_freddy's
miruko,254014,my_hero_academia
freya_crescent,251552,final_fantasy_ix
sheriff_mao_mao_mao,250157,mao_mao:_heroes_of_pure_heart
anais_watterson,249897,the_amazing_world_of_gumball
kiara,246367,the_lion_king
nanachi,244171,made_in_abyss
nightmare_moon_(mlp),244169,friendship_is_magic
king_sombra_(mlp),243662,friendship_is_magic
sly_cooper,242447,sly_cooper_(series)
tawna_bandicoot,242175,crash_bandicoot_(series)
kurama,241789,naruto
beau_(animal_crossing),240496,animal_crossing
shantae,239325,shantae_(series)
sable_able,238377,animal_crossing
gadget_hackwrench,238123,chip_'n_dale_rescue_rangers
banjo_(banjo-kazooie),232243,banjo-kazooie
goat_lucifer_(helltaker),227126,helltaker
chief_bogo,226052,zootopia
sisu_(ratld),225351,raya_and_the_last_dragon
scar_(the_lion_king),224836,the_lion_king
soraka,224561,league_of_legends
sarabi,221380,the_lion_king
koopaling,219891,mario_bros
nazuna_hiwatashi,218873,brand_new_animal
bambi,218343,bambi_(film)
yuumi_(lol),217208,league_of_legends
little_red_riding_hood,216808,little_red_riding_hood_(copyright)
protagonist_(hollow_knight),215920,hollow_knight
sunset_shimmer_(eg),213631,equestria_girls
hilda_(pokemon),210300,pokemon
angel_dust,209862,hazbin_hotel
zecora_(mlp),209737,friendship_is_magic
felicia_(darkstalkers),207300,darkstalkers
kathrin_vaughan,206652,twokinds
perdita,205909,101_dalmatians
nasus_(lol),205519,league_of_legends
sandy_cheeks,204239,spongebob_squarepants
belladonna_(trials_of_mana),203648,trials_of_mana
li_li_stormstout,202413,warcraft
gilda_(mlp),200131,friendship_is_magic
winnie_werewolf_(hotel_transylvania),199822,hotel_transylvania
carrot_(one_piece),196740,one_piece
warwick_(lol),195255,league_of_legends
fennix_(fortnite),194474,fortnite
finnick,192596,zootopia
tsukino_(monster_hunter_stories),190555,monster_hunter_stories_2:_wings_of_ruin
nubless,190276,how_to_train_your_dragon
smolder_(mlp),188598,friendship_is_magic
sticks_the_jungle_badger,188473,sonic_boom
jean_(minecraft),188189,minecraft
dire_(fortnite),186846,fortnite
chara_(undertale),186695,undertale
pearl_(splatoon),185843,splatoon
maud_pie_(mlp),184594,friendship_is_magic
balto,183527,balto_(film)
max_(sam_and_max),182635,sam_and_max
kazooie,179968,banjo-kazooie
ridley,179212,metroid
marie_(splatoon),178877,splatoon
vicar_amelia,177426,bloodborne
lyra_heartstrings_(mlp),175576,friendship_is_magic
red_xiii,175117,final_fantasy_vii
dawn_(pokemon),173772,pokemon
kirby,172682,kirby_(series)
royal_guard_(mlp),172046,friendship_is_magic
kitty_katswell,172027,t.u.f.f._puppy
king_ghidorah,171954,godzilla_(series)
taokaka,171734,blazblue
krampus,171059,christmas
gazelle_(zootopia),169888,zootopia
marshal_(animal_crossing),168876,animal_crossing
jake_long,168672,american_dragon:_jake_long
lin_(changed),165677,changed_(video_game)
callie_(splatoon),163726,splatoon
olivia_(animal_crossing),163346,animal_crossing
whisper_the_wolf,161678,sonic_the_hedgehog_(idw)
flora_(twokinds),161505,twokinds
tsunoda,160638,aggressive_retsuko
soarin_(mlp),159024,friendship_is_magic
gregg_lee,159022,night_in_the_woods
tifa_lockhart,158700,final_fantasy_vii
richard_watterson,157941,the_amazing_world_of_gumball
elza_(interspecies_reviewers),157063,interspecies_reviewers
ronno,156340,bambi_(film)
ilulu,154645,miss_kobayashi's_dragon_maid
bolt_(bolt),153635,bolt_(film)
rengar_(lol),153282,league_of_legends
ashido_mina,153242,my_hero_academia
may_(pokemon),152528,pokemon
holo_(spice_and_wolf),152054,spice_and_wolf
peg_pete,151147,goof_troop
angel_(lady_and_the_tramp),150689,lady_and_the_tramp
fifi_la_fume,150589,tiny_toon_adventures
mufasa,149827,the_lion_king
venom_(marvel),149492,marvel
quetzalcoatl_(dragon_maid),149384,miss_kobayashi's_dragon_maid
bunnie_rabbot,148350,sonic_the_hedgehog_(archie)
stella_(helluva_boss),148221,helluva_boss
bill_(beastars),148033,beastars
vex_(lol),147650,league_of_legends
rika_nonaka,147385,digimon
master_viper,147001,kung_fu_panda
twitch_(lol),146412,league_of_legends
gouhin_(beastars),145734,beastars
braeburn_(mlp),145402,friendship_is_magic
kanga,145104,winnie_the_pooh_(franchise)
discord_(mlp),144247,friendship_is_magic
marble_pie_(mlp),143542,friendship_is_magic
crusch_lulu,143451,overlord_(series)
bronwyn,143082,adventure_time
esix,142873,e621
dogmeat,142160,fallout
switch_dog,142035,nintendo_switch
kovu,142004,the_lion_king
sans_(undertale),141693,undertale_(series)
shino_(animal_crossing),140473,animal_crossing
catty_(undertale),140393,undertale_(series)
jack_savage,139721,zootopia
cheerilee_(mlp),139126,friendship_is_magic
flurry_heart_(mlp),138485,friendship_is_magic
miyu_lynx,138371,star_fox
raven_(dc),137488,dc_comics
finn_the_human,137278,adventure_time
doom_slayer,136797,doom_(series)
interstellar_demon_stripper,136318,rick_and_morty
momo_(google),136206,magic_cat_academy
dawn_bellwether,136111,zootopia
revali,135736,breath_of_the_wild
bob_(animal_crossing),135104,animal_crossing
spitfire_(mlp),134869,friendship_is_magic
ganondorf,134057,the_legend_of_zelda
polar_patroller,132699,fortnite
natani,132516,twokinds
gawr_gura,131948,hololive
broodal,131654,super_mario_odyssey
master_po_ping,131610,kung_fu_panda
suki_lane,130787,sing_(movie)
tadano_(aggretsuko),130710,aggressive_retsuko
funtime_foxy_(fnaf),130097,five_nights_at_freddy's
dolly_(101_dalmatians),129327,101_dalmatian_street
steele_(balto),128660,balto_(film)
minerva_mink,128512,animaniacs
lulu_(lol),127838,league_of_legends
everest_(paw_patrol),127824,paw_patrol
haydee,127724,haydee_(game)
hybrid_(fortnite),127227,fortnite
penny_fitzgerald,126616,the_amazing_world_of_gumball
gwen_tennyson,126597,ben_10
meowscles,125839,fortnite
mrs._otterton,125553,zootopia
klonoa,125469,klonoa_(series)
big_bad_wolf,124848,fairy_tales
whitney_(animal_crossing),124389,animal_crossing
sonic_the_werehog,124358,sonic_unleashed
monster_kid,123765,undertale_(series)
samuel_dog,123618,sam_and_max
cerberus_(helltaker),123400,helltaker
clawroline,123377,kirby_(series)
centorea_shianus_(monster_musume),123120,monster_musume
tali'zorah,123096,mass_effect
lilo_pelekai,122870,lilo_and_stitch
auroth_the_winter_wyvern,122396,dota
gideon_grey,121548,zootopia
berdly,121334,deltarune
skye_(paw_patrol),121015,paw_patrol
vitani,120901,the_lion_king
liara_t'soni,120392,mass_effect
mr._snake_(the_bad_guys),119873,the_bad_guys
inkling_girl,119555,splatoon
tweetfur,119203,twitter
bowser_jr.,118523,mario_bros
rosalina_(mario),118344,super_mario_galaxy
roxanne_(goof_troop),118122,goof_troop
brian_griffin,117731,family_guy
tempest_shadow_(mlp),117611,my_little_pony:_the_movie_(2017)
aeris_(vg_cats),116786,vg_cats
rosie_(animal_crossing),116080,animal_crossing
puss_in_boots_(dreamworks),115207,dreamworks
waaifu_(arknights),115152,arknights
darwin_watterson,114463,the_amazing_world_of_gumball
hex_maniac,113586,pokemon
fwench_fwy_(chikn_nuggit),113047,chikn_nuggit
shima_luan,112853,super_planet_dolan
apollo_(animal_crossing),112663,animal_crossing
wave_the_swallow,112437,sonic_riders
night_light_(mlp),112027,friendship_is_magic
regu,111681,made_in_abyss
c.j._(animal_crossing),111388,animal_crossing
inui_(aggressive_retsuko),111283,aggressive_retsuko
meow_(space_dandy),111052,space_dandy
tohru_(dragon_maid),110993,miss_kobayashi's_dragon_maid
d.va_(overwatch),110363,overwatch
tangle_the_lemur,110231,sonic_the_hedgehog_(idw)
rosa_(pokemon),109742,pokemon
tony_tony_chopper,109174,one_piece
thunderlane_(mlp),109170,friendship_is_magic
lara_croft,108744,tomb_raider
yorha_2b,108675,nier_automata
niko_(oneshot),108002,oneshot
teba_(tloz),107708,breath_of_the_wild
alopex,107654,teenage_mutant_ninja_turtles
rover_(animal_crossing),107466,animal_crossing
bojack_horseman_(character),106702,bojack_horseman
teemo_(lol),106378,league_of_legends
tiger_dancer_(zootopia),106349,zootopia
silver_the_hedgehog,105973,sonic_the_hedgehog_(series)
maliketh_(elden_ring),105231,elden_ring
rumble_(mlp),105184,friendship_is_magic
master_splinter,105078,teenage_mutant_ninja_turtles
princess_daisy,105053,mario_bros
zabivaka,104166,fifa
bandit_heeler,104158,bluey_(series)
gabby_(mlp),103988,friendship_is_magic
king_k._rool,103470,donkey_kong_(series)
sunburst_(mlp),103403,friendship_is_magic
scooby-doo,103156,scooby-doo_(series)
urbosa,102826,breath_of_the_wild
neco-arc,102575,tsukihime
link_(rabbit_form),102304,the_legend_of_zelda
badgerclops,102289,mao_mao:_heroes_of_pure_heart
